time,vGS4,iGS4,tGS4,vGS1,tGS1,iGS1,tBat,vBat,vGS2,tGS2,iGS2,vGS3,tGS3,iGS3,iADCS,tODB,iRX,RSSI,iTX ,tPA,i1200,i3v3,v3v3,i5v,v5v,tSU
946693603,35,0,-22.1,35,-18.9,0,-1.3,8069,35,-20.5,0,35,-20.5,0,2,6.7,45,1224,0,14.7,0,0,0,0,0,0.0
946693633,35,0,-22.1,35,-18.9,0,-1.3,8069,35,-22.1,0,35,-22.1,0,2,6.7,45,1264,0,13.1,0,0,0,0,0,0.0
946693694,35,0,-23.7,35,-20.5,0,-1.3,8069,35,-22.1,0,35,-22.1,0,2,6.7,45,1200,0,13.1,0,0,0,0,0,0.0
946693724,35,0,-23.7,35,-20.5,0,-1.3,8069,35,-22.1,0,35,-22.1,0,2,6.7,44,1200,0,13.1,0,0,0,0,0,0.0
946693739,35,0,-23.7,35,-20.5,0,-1.3,8069,35,-22.1,0,35,-22.1,0,2,6.7,45,1328,0,13.1,0,0,0,0,0,0.0
946865783,70,0,-18.9,70,-14.1,0,1.9,8139,70,-20.5,0,70,-20.5,0,2,9.9,45,1192,0,16.3,0,0,0,0,0,0.0
946865798,70,0,-18.9,70,-15.7,0,1.9,8139,70,-22.1,0,70,-20.5,0,2,9.9,45,1320,0,16.3,0,0,0,0,0,0.0
946865828,70,0,-18.9,70,-15.7,0,1.9,8139,70,-22.1,0,70,-22.1,0,2,8.3,44,1256,0,16.3,0,0,0,0,0,0.0
946865843,70,0,-20.5,70,-15.7,0,1.9,8139,70,-22.1,0,70,-22.1,0,2,8.3,45,0,0,16.3,0,0,0,0,0,0.0
946865858,70,0,-20.5,70,-15.7,0,0.3,8139,70,-20.5,0,70,-22.1,0,2,8.3,44,1232,0,16.3,0,0,0,0,0,0.0
946865978,35,0,-20.5,35,-18.9,0,0.3,8104,35,-23.7,0,35,-22.1,0,2,8.3,45,1288,0,14.7,0,0,0,0,0,0.0
947022193,8632,181,5.1,8562,13.1,66,3.5,8315,105,-22.1,0,1162,-25.3,2,2,8.3,46,1296,0,17.9,0,0,0,0,0,0.0
947376674,1057,2,30.7,8985,41.9,40,27.5,8985,8985,3.5,36,739,0.3,17,2,30.7,46,1256,0,40.3,0,0,0,0,0,0.0
947376734,8809,4,30.7,8985,40.3,76,27.5,8985,1797,3.5,2,810,-1.3,21,2,30.7,47,1216,0,40.3,0,0,0,0,0,0.0
947659514,8985,85,21.1,8985,22.7,0,17.9,8985,8527,21.1,2,3100,22.7,2,2,24.3,46,1208,0,29.1,0,0,0,0,0,0.0
947738026,8632,157,8.3,1303,9.9,0,14.7,8315,317,8.3,0,8527,8.3,70,2,17.9,45,1288,0,22.7,0,0,0,0,0,0.0
947738086,8562,102,8.3,246,9.9,0,14.7,8280,1374,8.3,2,8491,8.3,51,2,17.9,46,1296,0,22.7,0,0,0,0,0,0.0
947738161,8562,25,8.3,8632,9.9,209,14.7,8350,1761,9.9,2,352,8.3,0,2,17.9,45,0,0,22.7,0,0,0,0,0,0.0
947738221,8527,25,8.3,8562,9.9,125,14.7,8280,458,8.3,0,458,8.3,0,2,17.9,46,1344,0,22.7,0,0,0,0,0,0.0
947738296,246,0,8.3,8491,9.9,2,14.7,8350,8597,8.3,243,3065,8.3,2,2,17.9,45,1288,0,22.7,0,0,0,0,0,0.0
947738356,246,0,8.3,8527,9.9,27,14.7,8315,8527,8.3,155,599,8.3,2,2,17.9,45,1328,0,22.7,0,0,0,0,0,0.0
947738491,281,0,8.3,246,9.9,0,14.7,8280,8456,9.9,40,8491,8.3,76,2,17.9,45,1336,0,22.7,0,0,0,0,0,0.0
947738506,8527,51,8.3,8491,9.9,42,14.7,8280,246,9.9,0,387,8.3,0,2,17.9,45,1280,0,22.7,0,0,0,0,0,0.0
947744049,8421,8,11.5,8527,13.1,102,16.3,8280,458,13.1,0,387,11.5,0,2,19.5,46,1280,0,24.3,0,0,0,0,0,0.0
947744064,281,0,11.5,281,13.1,0,16.3,8245,8386,11.5,17,8421,11.5,40,2,19.5,45,1272,0,24.3,0,0,0,0,0,0.0
947744079,8386,6,11.5,8421,13.1,6,14.7,8209,246,11.5,0,281,11.5,0,2,19.5,46,1328,0,24.3,0,0,0,0,0,0.0
947744094,246,0,9.9,246,13.1,0,14.7,8209,5179,11.5,2,8280,11.5,2,2,19.5,45,1312,0,24.3,0,0,0,0,0,0.0
947744109,599,0,9.9,669,11.5,4,14.7,8209,246,9.9,0,246,9.9,0,2,19.5,45,1320,0,24.3,0,0,0,0,0,0.0
947744124,246,0,9.9,281,11.5,0,14.7,8209,810,9.9,21,387,9.9,0,2,19.5,46,1320,0,24.3,0,0,0,0,0,0.0
947744139,810,19,8.3,387,9.9,0,14.7,8209,246,9.9,0,246,8.3,0,2,19.5,46,0,0,24.3,0,0,0,0,0,0.0
947744154,246,0,6.7,246,9.9,0,14.7,8209,704,8.3,8,352,8.3,0,2,19.5,45,1328,0,24.3,0,0,0,0,0,0.0
947744184,246,0,5.1,352,8.3,0,14.7,8209,422,6.7,0,246,6.7,0,2,19.5,46,1320,0,24.3,0,0,0,0,0,0.0
947744199,458,0,5.1,246,6.7,0,14.7,8209,246,6.7,0,458,5.1,0,2,19.5,45,1288,0,24.3,0,0,0,0,0,0.0
947744214,246,0,3.5,422,6.7,0,14.7,8209,458,5.1,0,246,5.1,0,2,19.5,46,1360,0,24.3,0,0,0,0,0,0.0
947744229,387,0,3.5,246,5.1,0,14.7,8209,211,5.1,0,352,3.5,0,2,19.5,46,1272,0,24.3,0,0,0,0,0,0.0
947744244,246,0,3.5,317,5.1,0,14.7,8209,246,3.5,0,211,3.5,0,2,19.5,45,1280,0,24.3,0,0,0,0,0,0.0
947744259,211,0,1.9,211,5.1,0,14.7,8209,246,3.5,0,387,3.5,0,2,19.5,46,1320,0,24.3,0,0,0,0,0,0.0
947744274,246,0,1.9,387,3.5,0,14.7,8209,211,3.5,0,211,1.9,0,2,19.5,46,1296,0,24.3,0,0,0,0,0,0.0
947744289,211,0,0.3,211,3.5,0,13.1,8209,246,1.9,0,352,1.9,0,2,19.5,46,1296,0,24.3,0,0,0,0,0,0.0
